#pacId	locusName	transcriptName	peptideName	Pfam	Panther	ec	KOG	KO	GO	Best-hit-arabi-name	Best-hit-arabi-defline	Best-hit-rice-name	Best-hit-rice-defline
PAC:30788846	Cre01.g001350	Cre01.g001350.t1.2	Cre01.g001350.t1.2	PF00005 PF05992 PF06472	PTHR11384 PTHR11384:SF3	EC:3.6.3.47	KOG0060		GO:0000166 GO:0005215 GO:0005524 GO:0006810 GO:0016021 GO:0016887 GO:0017111 GO:0042626 GO:0055085				
PAC:30788589	Cre01.g001400	Cre01.g001400.t1.1	Cre01.g001400.t1.1	PF01457	PTHR10942 PTHR10942:SF0	EC:3.4.24.36		K13539	GO:0004222 GO:0006508 GO:0007155 GO:0008270 GO:0016020				
PAC:30789050	Cre01.g001450	Cre01.g001450.t1.2	Cre01.g001450.t1.2						GO:0005515				
PAC:30788677	Cre01.g001501	Cre01.g001501.t1.1	Cre01.g001501.t1.1										
PAC:30789252	Cre01.g001550	Cre01.g001550.t1.1	Cre01.g001550.t1.1	PF00707 PF05198	PTHR10938			K02520	GO:0003743 GO:0006413				
PAC:30788856	Cre01.g001600	Cre01.g001600.t1.2	Cre01.g001600.t1.2	PF00651	PTHR26379				GO:0005515			LOC_Os06g21330	ABB1 - Ankyrin repeat region with 2 Bric-a-Brac, Tramtrack, Broad Complex BTB domains, expressed
PAC:30789638	Cre01.g001650	Cre01.g001650.t1.2	Cre01.g001650.t1.2	PF12796 PF13637	PTHR24198				GO:0005515	AT1G10340	Ankyrin repeat family protein		
PAC:30789041	Cre01.g001657	Cre01.g001657.t1.1	Cre01.g001657.t1.1	PF14737	PTHR22118 PTHR22118:SF14								
PAC:30789618	Cre01.g001664	Cre01.g001664.t1.1	Cre01.g001664.t1.1										
PAC:30789189	Cre01.g001671	Cre01.g001671.t1.1	Cre01.g001671.t1.1										
PAC:30789137	Cre01.g001678	Cre01.g001678.t1.1	Cre01.g001678.t1.1	PF07714	PTHR23257 PTHR23257:SF474	EC:2.7.11.1	KOG0192		GO:0004672 GO:0004713 GO:0005524 GO:0006468				
PAC:30789138	Cre01.g001678	Cre01.g001678.t2.1	Cre01.g001678.t2.1	PF07714	PTHR23257 PTHR23257:SF474	EC:2.7.11.1	KOG0192		GO:0004672 GO:0004713 GO:0005524 GO:0006468				
PAC:30788398	Cre01.g001685	Cre01.g001685.t1.1	Cre01.g001685.t1.1										
PAC:30789537	Cre01.g001700	Cre01.g001700.t1.1	Cre01.g001700.t1.1	PF07714	PTHR23257	EC:2.7.11.1	KOG0192		GO:0004672 GO:0004713 GO:0005524 GO:0006468	AT4G25390	Protein kinase superfamily protein		
PAC:30788712	Cre01.g001750	Cre01.g001750.t1.2	Cre01.g001750.t1.2	PF05697 PF05698	PTHR30560 PTHR30560:SF3	EC:5.2.1.8			GO:0006457 GO:0015031	AT5G55220	trigger factor type chaperone family protein	LOC_Os06g20320	peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed
PAC:30788521	Cre01.g001800	Cre01.g001800.t1.1	Cre01.g001800.t1.1	PF00069	PTHR24361 PTHR24361:SF411	EC:2.7.11.1	KOG0583	K08857	GO:0004672 GO:0004713 GO:0005524 GO:0006468				
PAC:30789205	Cre01.g001950	Cre01.g001950.t1.2	Cre01.g001950.t1.2										
PAC:30788458	Cre01.g001983	Cre01.g001983.t1.1	Cre01.g001983.t1.1										
PAC:30788459	Cre01.g001983	Cre01.g001983.t2.1	Cre01.g001983.t2.1										
PAC:30789101	Cre01.g002050	Cre01.g002050.t1.1	Cre01.g002050.t1.1	PF00328	PTHR11567	EC:3.1.3.2	KOG3720	K01078	GO:0003993				
PAC:30788974	Cre01.g002100	Cre01.g002100.t1.2	Cre01.g002100.t1.2	PF01753	PTHR32523 PTHR32523:SF8	EC:3.4.19.12			GO:0008270				
PAC:30789448	Cre01.g002150	Cre01.g002150.t1.2	Cre01.g002150.t1.2										
PAC:30789017	Cre01.g002200	Cre01.g002200.t1.1	Cre01.g002200.t1.1	PF01192	PTHR10773	EC:2.7.7.6	KOG3405	K03014	GO:0003677 GO:0003899 GO:0006351 GO:0030880	AT5G51940	RNA polymerase Rpb6	LOC_Os07g27930	DNA-directed RNA polymerase subunit, putative, expressed
PAC:30789199	Cre01.g002201	Cre01.g002201.t1.2	Cre01.g002201.t1.2	PF04031	PTHR15002				GO:0042309 GO:0050825 GO:0050826				
PAC:30789200	Cre01.g002201	Cre01.g002201.t2.1	Cre01.g002201.t2.1	PF04031	PTHR15002				GO:0042309 GO:0050825 GO:0050826				
PAC:30789466	Cre01.g002203	Cre01.g002203.t1.1	Cre01.g002203.t1.1			EC:2.7.11.1							
PAC:30788985	Cre01.g002227	Cre01.g002227.t1.2	Cre01.g002227.t1.2						GO:0003677				
PAC:30788355	Cre01.g002234	Cre01.g002234.t1.1	Cre01.g002234.t1.1										
PAC:30788356	Cre01.g002234	Cre01.g002234.t2.1	Cre01.g002234.t2.1										
PAC:30789180	Cre01.g002250	Cre01.g002250.t1.2	Cre01.g002250.t1.2	PF00583	PTHR23091 PTHR23091:SF206				GO:0008080 GO:0008152	AT1G26220	Acyl-CoA N-acyltransferases (NAT) superfamily protein	LOC_Os08g01170	acetyltransferase, GNAT family, putative, expressed
PAC:30788660	Cre01.g002300	Cre01.g002300.t1.2	Cre01.g002300.t1.2	PF00160	PTHR11071	EC:5.2.1.8	KOG0865	K01802	GO:0000413 GO:0003755 GO:0006457	AT2G21130	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein	LOC_Os02g02890	peptidyl-prolyl cis-trans isomerase, putative, expressed
PAC:30789373	Cre01.g002350	Cre01.g002350.t1.1	Cre01.g002350.t1.1	PF00899	PTHR10953			K04532	GO:0005488 GO:0008641	AT1G05180	NAD(P)-binding Rossmann-fold superfamily protein	LOC_Os03g60550	ThiF family domain containing protein, putative, expressed
PAC:30788816	Cre01.g002400	Cre01.g002400.t1.1	Cre01.g002400.t1.1	PF01764	PTHR21493 PTHR21493:SF119	EC:3.1.1.3			GO:0006629				
PAC:30789565	Cre01.g002451	Cre01.g002451.t1.1	Cre01.g002451.t1.1	PF00168	PTHR10774				GO:0005515				
PAC:30788346	Cre01.g002500	Cre01.g002500.t1.2	Cre01.g002500.t1.2										
PAC:30789683	Cre01.g002550	Cre01.g002550.t1.1	Cre01.g002550.t1.1	PF00069	PTHR24361	EC:2.7.11.12	KOG0198 KOG0598 KOG0616	K07376	GO:0004672 GO:0004713 GO:0005524 GO:0006468				
PAC:30788889	Cre01.g002600	Cre01.g002600.t1.2	Cre01.g002600.t1.2										
PAC:30789610	Cre01.g002650	Cre01.g002650.t1.2	Cre01.g002650.t1.2										
PAC:30788992	Cre01.g002700	Cre01.g002700.t1.2	Cre01.g002700.t1.2		PTHR13083		KOG1333		GO:0005515				
PAC:30788369	Cre01.g002750	Cre01.g002750.t1.2	Cre01.g002750.t1.2										
PAC:30788370	Cre01.g002750	Cre01.g002750.t2.1	Cre01.g002750.t2.1										
PAC:30789171	Cre01.g002787	Cre01.g002787.t1.1	Cre01.g002787.t1.1	PF00059 PF00530 PF00704 PF03762	PTHR11177 PTHR11177:SF157		KOG2806		GO:0004553 GO:0004568 GO:0005044 GO:0005488 GO:0005975 GO:0006032 GO:0016020				
PAC:30788543	Cre01.g002824	Cre01.g002824.t1.1	Cre01.g002824.t1.1	PF00059					GO:0005488				
PAC:30789341	Cre01.g002861	Cre01.g002861.t1.1	Cre01.g002861.t1.1						GO:0005488				
PAC:30788964	Cre01.g002900	Cre01.g002900.t1.2	Cre01.g002900.t1.2										
PAC:30788847	Cre01.g002950	Cre01.g002950.t1.1	Cre01.g002950.t1.1	PF06677									
PAC:30789230	Cre01.g003000	Cre01.g003000.t1.1	Cre01.g003000.t1.1										
PAC:30788616	Cre01.g003050	Cre01.g003050.t1.2	Cre01.g003050.t1.2	PF04048	PTHR14146		KOG3691		GO:0000145 GO:0006904 GO:0015031 GO:0042309 GO:0050825 GO:0050826	AT3G10380	subunit of exocyst complex 8	LOC_Os08g22864	sec8 exocyst complex component specific domain containing protein, expressed
PAC:30788970	Cre01.g003100	Cre01.g003100.t1.1	Cre01.g003100.t1.1	PF00226	PTHR24078				GO:0006457 GO:0031072 GO:0051082				
PAC:30788971	Cre01.g003100	Cre01.g003100.t2.1	Cre01.g003100.t2.1	PF00226	PTHR24078				GO:0006457 GO:0031072 GO:0051082				
PAC:30789503	Cre01.g003150	Cre01.g003150.t1.2	Cre01.g003150.t1.2										
PAC:30788898	Cre01.g003200	Cre01.g003200.t1.2	Cre01.g003200.t1.2	PF01408	PTHR22604 PTHR22604:SF136	EC:1.1.1.179			GO:0016491				
PAC:30789549	Cre01.g003250	Cre01.g003250.t1.1	Cre01.g003250.t1.1	PF07282	PTHR15535								
PAC:30789158	Cre01.g003300	Cre01.g003300.t1.2	Cre01.g003300.t1.2	PF13458	PTHR30483 PTHR30483:SF6				GO:0006865				
PAC:30788350	Cre01.g003376	Cre01.g003376.t1.1	Cre01.g003376.t1.1	PF00226 PF00249	PTHR24078 PTHR24078:SF310		KOG0691	K09522	GO:0003677 GO:0006355 GO:0031072	AT3G11450	DnaJ domain ;Myb-like DNA-binding domain	LOC_Os04g30890	MYB family transcription factor, putative, expressed
PAC:30789254	Cre01.g003450	Cre01.g003450.t1.1	Cre01.g003450.t1.1										
PAC:30789255	Cre01.g003450	Cre01.g003450.t2.1	Cre01.g003450.t2.1										
PAC:30789210	Cre01.g003463	Cre01.g003463.t1.1	Cre01.g003463.t1.1	PF00488 PF01624 PF05188 PF05192	PTHR11361 PTHR11361:SF35		KOG0219	K08735	GO:0005524 GO:0006298 GO:0030983	AT3G18524	MUTS homolog 2	LOC_Os05g19270	MSH-like DNA mismatch repair protein, putative, expressed
PAC:30788550	Cre01.g003475	Cre01.g003475.t1.1	Cre01.g003475.t1.1	PF06742 PF06863	PTHR36509 PTHR36509:SF2	EC:3.4.24.35							
PAC:30789160	Cre01.g003487	Cre01.g003487.t1.1	Cre01.g003487.t1.1	PF09736	PTHR31809		KOG2654	K13106		AT1G31870	(1 of 1) KOG2654 - Uncharacterized conserved protein	LOC_Os08g08080	BUD13, putative, expressed
PAC:30789121	Cre01.g003500	Cre01.g003500.t1.2	Cre01.g003500.t1.2										
PAC:30788305	Cre01.g003508	Cre01.g003508.t1.1	Cre01.g003508.t1.1										
PAC:30789616	Cre01.g003516	Cre01.g003516.t1.1	Cre01.g003516.t1.1										
PAC:30788840	Cre01.g003524	Cre01.g003524.t1.1	Cre01.g003524.t1.1	PF13499 PF14531	PTHR24349 PTHR24349:SF23	EC:2.7.11.1	KOG0032	K13412	GO:0004672 GO:0004713 GO:0005509 GO:0005524 GO:0006468				
PAC:30788832	Cre01.g003532	Cre01.g003532.t1.1	Cre01.g003532.t1.1		PTHR16306 PTHR16306:SF0								
PAC:30789437	Cre01.g003541	Cre01.g003541.t1.1	Cre01.g003541.t1.1										
PAC:30789709	Cre01.g003550	Cre01.g003550.t1.1	Cre01.g003550.t1.1	PF00581	PTHR12231 PTHR12231:SF112		KOG1530		GO:0042309 GO:0050825 GO:0050826				
PAC:30789710	Cre01.g003600	Cre01.g003600.t1.2	Cre01.g003600.t1.2										
PAC:30788534	Cre01.g003650	Cre01.g003650.t1.1	Cre01.g003650.t1.1										
PAC:30788535	Cre01.g003650	Cre01.g003650.t2.1	Cre01.g003650.t2.1										
PAC:30788668	Cre01.g003700	Cre01.g003700.t1.2	Cre01.g003700.t1.2	PF10263	PTHR23099				GO:0005515				
PAC:30789533	Cre01.g003751	Cre01.g003751.t1.1	Cre01.g003751.t1.1	PF00520	PTHR10217				GO:0005216 GO:0006811 GO:0016020 GO:0055085				
PAC:30788915	Cre01.g003800	Cre01.g003800.t1.1	Cre01.g003800.t1.1	PF07714	PTHR23257	EC:2.7.11.25			GO:0004672 GO:0004674 GO:0005524 GO:0006468				
PAC:30789703	Cre01.g003826	Cre01.g003826.t1.1	Cre01.g003826.t1.1										
PAC:30789713	Cre01.g003850	Cre01.g003850.t1.1	Cre01.g003850.t1.1	PF00067	PTHR24291	EC:1.14.14.1	KOG0157		GO:0004497 GO:0005506 GO:0009055 GO:0016705 GO:0020037 GO:0055114	AT2G44890	cytochrome P450, family 704, subfamily A, polypeptide 1	LOC_Os11g04310	cytochrome P450, putative, expressed
PAC:30788427	Cre01.g003950	Cre01.g003950.t1.1	Cre01.g003950.t1.1		PTHR31600 PTHR31600:SF2								
PAC:30788428	Cre01.g003950	Cre01.g003950.t2.1	Cre01.g003950.t2.1		PTHR31600 PTHR31600:SF2								
PAC:30788914	Cre01.g004000	Cre01.g004000.t1.2	Cre01.g004000.t1.2	PF08855									
PAC:30789672	Cre01.g004050	Cre01.g004050.t1.2	Cre01.g004050.t1.2										
PAC:30788731	Cre01.g004124	Cre01.g004124.t1.1	Cre01.g004124.t1.1		PTHR31600 PTHR31600:SF2								
PAC:30788732	Cre01.g004124	Cre01.g004124.t2.1	Cre01.g004124.t2.1		PTHR31600 PTHR31600:SF2								
PAC:30789433	Cre01.g004157	Cre01.g004157.t1.2	Cre01.g004157.t1.2		PTHR31600 PTHR31600:SF2								
PAC:30789198	Cre01.g004200	Cre01.g004200.t1.2	Cre01.g004200.t1.2						GO:0005515				
PAC:30788836	Cre01.g004250	Cre01.g004250.t1.2	Cre01.g004250.t1.2	PF03645	PTHR21255 PTHR21255:SF19		KOG4081	K10420					
PAC:30789034	Cre01.g004300	Cre01.g004300.t1.2	Cre01.g004300.t1.2	PF00733 PF13522	PTHR11772 PTHR11772:SF13	EC:6.3.5.4		K01953	GO:0004066 GO:0006529	AT3G47340	glutamine-dependent asparagine synthase 1	LOC_Os06g15420	asparagine synthetase, putative, expressed
PAC:30788641	Cre01.g004350	Cre01.g004350.t1.2	Cre01.g004350.t1.2	PF03097 PF13949	PTHR23030		KOG2220	K12200	GO:0005515	AT1G15130	Endosomal targeting BRO1-like domain-containing protein	LOC_Os10g35250	vacuolar protein-sorting protein bro1, putative, expressed
PAC:30788372	Cre01.g004400	Cre01.g004400.t1.2	Cre01.g004400.t1.2										
PAC:30789152	Cre01.g004450	Cre01.g004450.t1.2	Cre01.g004450.t1.2	PF07466	PTHR33975							LOC_Os03g48920	DUF1517 domain containing protein, putative, expressed
PAC:30789545	Cre01.g004500	Cre01.g004500.t1.2	Cre01.g004500.t1.2	PF00330	PTHR11670	EC:4.2.1.33	KOG0454	K01703	GO:0008152 GO:0008652 GO:0016836 GO:0051539	AT4G13430	isopropyl malate isomerase large subunit 1	LOC_Os02g03260	3-isopropylmalate dehydratase large subunit 2, putative, expressed
PAC:30788925	Cre01.g004550	Cre01.g004550.t1.2	Cre01.g004550.t1.2	PF00536	PTHR22998	EC:2.7.10.2 EC:2.7.12.1			GO:0005515				
PAC:30789354	Cre01.g004600	Cre01.g004600.t1.1	Cre01.g004600.t1.1	PF02042	PTHR32002								
PAC:30788395	Cre01.g004651	Cre01.g004651.t1.1	Cre01.g004651.t1.1	PF00570		EC:3.6.4.12			GO:0000166 GO:0003676 GO:0003824 GO:0005622 GO:0044237				
PAC:30789464	Cre01.g004700	Cre01.g004700.t1.2	Cre01.g004700.t1.2	PF03188	PTHR15422				GO:0016021				
PAC:30788692	Cre01.g004750	Cre01.g004750.t1.1	Cre01.g004750.t1.1						GO:0005509 GO:0042309 GO:0050825 GO:0050826				
PAC:30788693	Cre01.g004750	Cre01.g004750.t2.1	Cre01.g004750.t2.1						GO:0005509				
PAC:30788382	Cre01.g004800	Cre01.g004800.t1.2	Cre01.g004800.t1.2										
PAC:30789361	Cre01.g004850	Cre01.g004850.t1.1	Cre01.g004850.t1.1	PF04851 PF07500 PF08711	PTHR30195 PTHR30195:SF13				GO:0003677 GO:0005524 GO:0005634 GO:0006351 GO:0016787 GO:0030528 GO:0042309 GO:0050825 GO:0050826				
PAC:30788980	Cre01.g004900	Cre01.g004900.t1.2	Cre01.g004900.t1.2	PF01965	PTHR11019 PTHR11019:SF1								
PAC:30789057	Cre01.g004926	Cre01.g004926.t1.1	Cre01.g004926.t1.1										
PAC:30788473	Cre01.g004950	Cre01.g004950.t1.1	Cre01.g004950.t1.1	PF01965	PTHR11019 PTHR11019:SF1	EC:4.2.1.130							
PAC:30789597	Cre01.g005001	Cre01.g005001.t1.1	Cre01.g005001.t1.1		PTHR34370 PTHR34370:SF1							LOC_Os04g51140	E2F-related protein, putative, expressed
PAC:30788576	Cre01.g005050	Cre01.g005050.t1.1	Cre01.g005050.t1.1	PF00839	PTHR11884 PTHR11884:SF1			K06816	GO:0000139 GO:0005488 GO:0016020				
PAC:30789089	Cre01.g005100	Cre01.g005100.t1.1	Cre01.g005100.t1.1										
PAC:30789217	Cre01.g005126	Cre01.g005126.t1.1	Cre01.g005126.t1.1		PTHR15535								
PAC:30788515	Cre01.g005150	Cre01.g005150.t1.1	Cre01.g005150.t1.1	PF00266	PTHR21152 PTHR21152:SF21	EC:2.6.1.44 EC:2.6.1.45 EC:2.6.1.51	KOG2862	K00830	GO:0003824 GO:0030170	AT2G13360	alanine:glyoxylate aminotransferase	LOC_Os08g39300	aminotransferase, putative, expressed
PAC:30788742	Cre01.g005200	Cre01.g005200.t1.1	Cre01.g005200.t1.1	PF01764	PTHR21493 PTHR21493:SF153				GO:0006629				
PAC:30789682	Cre01.g005250	Cre01.g005250.t1.2	Cre01.g005250.t1.2	PF07282	PTHR30405								
PAC:30789547	Cre01.g005300	Cre01.g005300.t1.2	Cre01.g005300.t1.2		PTHR30483 PTHR30483:SF6				GO:0006865				
PAC:30788923	Cre01.g005350	Cre01.g005350.t1.2	Cre01.g005350.t1.2	PF07282	PTHR30405								
PAC:30789228	Cre01.g005400	Cre01.g005400.t1.1	Cre01.g005400.t1.1	PF13561	PTHR24322 PTHR24322:SF105		KOG0725		GO:0005488 GO:0016491 GO:0055114				
PAC:30788770	Cre01.g005450	Cre01.g005450.t1.2	Cre01.g005450.t1.2	PF02493	PTHR23084								
PAC:30789372	Cre01.g005500	Cre01.g005500.t1.2	Cre01.g005500.t1.2	PF02656 PF09359	PTHR10783 PTHR10783:SF3		KOG1161						
PAC:30788996	Cre01.g005534	Cre01.g005534.t1.2	Cre01.g005534.t1.2										
PAC:30789584	Cre01.g005543	Cre01.g005543.t1.1	Cre01.g005543.t1.1										
PAC:30789161	Cre01.g005550	Cre01.g005550.t1.2	Cre01.g005550.t1.2	PF08477	PTHR11711 PTHR11711:SF26		KOG0073	K07943	GO:0005525 GO:0005622 GO:0007264 GO:0015031	AT2G18390	ADP-ribosylation factor family protein	LOC_Os02g22140	ADP-ribosylation factor, putative, expressed
PAC:30788623	Cre01.g005600	Cre01.g005600.t1.1	Cre01.g005600.t1.1	PF00111					GO:0009055 GO:0051536				
PAC:30789259	Cre01.g005651	Cre01.g005651.t1.1	Cre01.g005651.t1.1										
PAC:30788629	Cre01.g005701	Cre01.g005701.t1.2	Cre01.g005701.t1.2										
PAC:30788630	Cre01.g005701	Cre01.g005701.t2.1	Cre01.g005701.t2.1										
PAC:30789489	Cre01.g005750	Cre01.g005750.t1.1	Cre01.g005750.t1.1						GO:0005515				
PAC:30789701	Cre01.g005813	Cre01.g005813.t1.2	Cre01.g005813.t1.2										
PAC:30788374	Cre01.g005850	Cre01.g005850.t1.2	Cre01.g005850.t1.2	PF01923	PTHR12213 PTHR12213:SF0	EC:2.5.1.17		K00798	GO:0005524 GO:0008817 GO:0009236				
PAC:30789172	Cre01.g005900	Cre01.g005900.t1.1	Cre01.g005900.t1.1	PF04379 PF12937	PTHR14289 PTHR14289:SF16		KOG4408	K10290	GO:0005515	AT1G06110	SKP1/ASK-interacting protein 16	LOC_Os11g16390	expressed protein
PAC:30788591	Cre01.g005950	Cre01.g005950.t1.2	Cre01.g005950.t1.2										
PAC:30788607	Cre01.g006000	Cre01.g006000.t1.1	Cre01.g006000.t1.1										
PAC:30789227	Cre01.g006050	Cre01.g006050.t1.1	Cre01.g006050.t1.1						GO:0042309 GO:0050825 GO:0050826				
PAC:30789633	Cre01.g006100	Cre01.g006100.t1.2	Cre01.g006100.t1.2	PF00111		EC:1.14.14.1			GO:0009055 GO:0051536				
PAC:30788424	Cre01.g006150	Cre01.g006150.t1.1	Cre01.g006150.t1.1	PF00009 PF03144 PF16658	PTHR23115 PTHR23115:SF69	EC:3.6.5.3			GO:0003924 GO:0005525				
PAC:30789113	Cre01.g006202	Cre01.g006202.t1.1	Cre01.g006202.t1.1	PF07282	PTHR15535								
PAC:30789206	Cre01.g006250	Cre01.g006250.t1.2	Cre01.g006250.t1.2		PTHR10178 PTHR10178:SF283	EC:2.7.7.49 EC:2.7.7.7 EC:3.1.26.4							
PAC:30788976	Cre01.g006301	Cre01.g006301.t1.1	Cre01.g006301.t1.1										
PAC:30789491	Cre01.g006352	Cre01.g006352.t1.1	Cre01.g006352.t1.1										
PAC:30789026	Cre01.g006402	Cre01.g006402.t1.1	Cre01.g006402.t1.1						GO:0003824 GO:0008152				
PAC:30788331	Cre01.g006450	Cre01.g006450.t1.2	Cre01.g006450.t1.2	PF00078	PTHR13078	EC:2.7.7.49			GO:0003723 GO:0003964 GO:0006278				
PAC:30788330	Cre01.g006450	Cre01.g006450.t2.1	Cre01.g006450.t2.1	PF00078	PTHR13078	EC:2.7.7.49			GO:0003723 GO:0003964 GO:0006278				
PAC:30789118	Cre01.g006500	Cre01.g006500.t1.1	Cre01.g006500.t1.1										
PAC:30788626	Cre01.g006550	Cre01.g006550.t1.1	Cre01.g006550.t1.1										
PAC:30789322	Cre01.g006576	Cre01.g006576.t1.1	Cre01.g006576.t1.1										
PAC:30788808	Cre01.g006600	Cre01.g006600.t1.2	Cre01.g006600.t1.2	PF00078	PTHR19446	EC:2.7.7.49			GO:0003723 GO:0003964 GO:0006278				
PAC:30789666	Cre01.g006614	Cre01.g006614.t1.1	Cre01.g006614.t1.1	PF00078	PTHR19446	EC:2.7.7.49			GO:0003723 GO:0003964 GO:0006278				
PAC:30788937	Cre01.g006628	Cre01.g006628.t1.1	Cre01.g006628.t1.1	PF00078	PTHR19446 PTHR19446:SF368	EC:2.7.7.49							
PAC:30788936	Cre01.g006628	Cre01.g006628.t2.1	Cre01.g006628.t2.1	PF00078	PTHR19446 PTHR19446:SF368	EC:2.7.7.49							
PAC:30789291	Cre01.g006642	Cre01.g006642.t1.1	Cre01.g006642.t1.1										
PAC:30789463	Cre01.g006656	Cre01.g006656.t1.1	Cre01.g006656.t1.1										
PAC:30788720	Cre01.g006670	Cre01.g006670.t1.1	Cre01.g006670.t1.1		PTHR19446	EC:2.7.7.49							
PAC:30788354	Cre01.g006700	Cre01.g006700.t1.2	Cre01.g006700.t1.2	PF00078	PTHR19446	EC:2.7.7.49			GO:0003723 GO:0003964 GO:0006278				
